,_unit_id,bodygraph,decision,modified bodygraph,new decision
156,1702137206,"Mr. Obama said later at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations . He said he discussed the issue with Mr. Netanyahu during his visit to Israel this week , and that they agreed the timing was good for a discussion with the Turkish leader .",before,"Mr. Obama said later at a news conference in Amman that he had spoken to both leaders about how it was in the interests of both countries to restore normal relations . He said he discussed the issue with Mr. Netanyahu during his visit to Israel this week , and that they agreed the timing was good for a discussion with the Turkish leader .",vague
167,1702137416,"BBC forecasters said the snow would cause travel disruption across northern parts of the UK on Friday , with some 20cm-40cm ( 8in-16in ) falling in places . Atrocious conditions could be expected on high ground , they said .",after,"Atrocious conditions could be expected on high ground , BBC forecasters said . They said the snow would cause travel disruption across northern parts of the UK on Friday , with some 20cm-40cm ( 8in-16in ) falling in places .",before
17,1702137671,"But more importantly , we are growing in our power . When I first started just six years ago , it was unusual to have a woman managing a bill .",after,"When I first started just six years ago , it was unusual to have a woman managing a bill . But more importantly , we are growing in our power .",before
272,1702137114,"In the U.S. , 11 companies were selected last year for the accelerator 's first three-month class in Seattle , out of nearly 500 applicants . Microsoft said it has identified three companies for the China program to run through June .",before,"In the U.S. , 11 companies will be selected for the accelerator 's first three-month class in Seattle , out of nearly 500 applicants . Microsoft said it has also identified three companies for the China program to run through June .",after
154,1702137651,"Senator Patty Murray , a Washington Democrat , is the first chairwoman of the Budget Committee and is charged with shaping the Democratic strategy in the fiscal battle dominating Capitol Hill .",before,"Senator Patty Murray , a Washington Democrat , is the first chairwoman of the Budget Committee and is known for shaping the Democratic strategy in the fiscal battle dominating Capitol Hill .",after
271,1702137114,"In the U.S. , 11 companies were selected last year for the accelerator 's first three-month class in Seattle , out of nearly 500 applicants . Microsoft said it has identified three companies for the China program to run through June .",before,"Microsoft said it has identified three companies for the China program to run through June . In the U.S. , 11 companies were selected last year for the accelerator 's first three-month class in Seattle , out of nearly 500 applicants .",after
421,1702137631,"An hour before her colleagues gathered for their first vote of a new Congress , Senator Kelly Ayotte slipped into an empty Senate chamber to savor the grandeur of her legislative home . As Ms. Ayotte , a freshman Republican from New Hampshire , sat down at the wooden desk where generations of lawmakers from her state had cast their votes , a doorman marched toward her with purpose .",after,"An hour before her colleagues gathered for their first vote of a new Congress , Senator Kelly Ayotte slipped into an empty Senate chamber to savor the grandeur of her legislative home . As Ms. Ayotte , a freshman Republican from New Hampshire , sat down at the wooden desk where generations of lawmakers from her state had previously cast their votes , a doorman marched toward her with purpose .",after 
181,1702137009,Evana Roth told CNN in August she thought her husband devised the plan after he was fired from his job in July .,after,Evana Roth told CNN in August she thought her husband devised the plan before he was fired from his job in July .,before
381,1702137360,"The activists said the troops had opened fire as soon as they boarded the vessel , which was in international waters at the time . The incident provoked an international outcry and led to a major deterioration in relations between Turkey and Israel .",before,"Following the international outcry, in an intervie with the activists, they said the troops had opened fire as soon as they boarded the vessel , which was in international waters at the time . The incident provoked an international outcry and led to a major deterioration in relations between Turkey and Israel .",after 
109,1702137057,The FAA on Friday announced it will close 149 regional airport control towers because of forced spending cuts -- sparing 40 others that the FAA had been expected to shutter .,before,"Sparing 40 others that it had been expected to shutter, the FAA on Friday announced it will close 149 regional airport control towers because of forced spending cuts .",after
148,1702137202,"Mr. Obama said later at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations . He said he discussed the issue with Mr. Netanyahu during his visit to Israel this week , and that they agreed the timing was good for a discussion with the Turkish leader .",after,"Mr. Obama said he discussed the issue with Mr. Netanyahu during his visit to Israel this week , and that they agreed the timing was good for a discussion with the Turkish leader . He said later at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations .",before
18,1702137589,""" This is not a Lehman , "" he said , referring to the disastrous chain reaction touched off by the collapse of Lehman Brothers in 2008 . Eric Dor is a French economist who has studied the mechanics of how a country might remove itself from the monetary union .",after,""" This is not a Lehman , "" he said , referring to the disastrous chain reaction touched off by the collapse of Lehman Brothers in 2008 . Eric Dor is a French economist who will be studing the mechanics of how a country might remove itself from the monetary union .",before
201,1702137634,"As Ms. Ayotte , a freshman Republican from New Hampshire , sat down at the wooden desk where generations of lawmakers from her state had cast their votes , a doorman marched toward her with purpose .",before,"A doorman marched toward her with purpose as Ms. Ayotte , a freshman Republican from New Hampshire , sat down at the wooden desk where generations of lawmakers from her state had cast their votes .",after
32,1702137713,"This year , all four of the female Senate Republicans split with their party and voted with Senate Democrats to reauthorize the Violence Against Women Act , which had lapsed during the last Congress .",before,"This year , all four of the female Senate Republicans split with their party after they voted with Senate Democrats to reauthorize the Violence Against Women Act , which had lapsed during the last Congress .",after
387,1702136963,"Several days into an extensive search involving multiple agencies , New York State Park Police said , authorities learned the missing man was in South Carolina , where he had been pulled over for speeding . The day before Raymond Roth was pulled over , his wife , Evana , showed authorities e-mails she had discovered that appeared to detail a plan between him and his son to fake his death .",after,"Several days into an extensive search involving multiple agencies , New York State Park Police said , authorities learned the missing man was in South Carolina , where he had been pulled over for speeding . The day after Raymond Roth was pulled over , his wife , Evana , showed authorities e-mails she had discovered that appeared to detail a plan between him and his son to fake his death .",before 
318,1702137478,"The US embassy in Moscow has voiced concern and asked the Russian government for an explanation . A new Russian law says foreign-funded non-governmental groups ( NGOs ) linked to politics must register as "" foreign agents "" - a term which suggests spying .",after,"A new Russian law says foreign-funded non-governmental groups ( NGOs ) linked to politics must register as "" foreign agents "" - a term which suggests spying . The US embassy in Moscow has voiced concern and asked the Russian government for an explanation .",before 
423,1702137199,"Mr. Netanyahu told Mr. Erdogan that what happened on board the Mavi Marmara was "" unintentional and Israel expresses regret over injuries and loss of life , "" according to the statement . Mr. Obama said later at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations .",after,"Mr. Netanyahu told Mr. Erdogan that what happened on board the Mavi Marmara was not planned ahead of time and they were "" unintentional and Israel expresses regret over injuries and loss of life , "" according to the statement . Mr. Obama said later at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations .",after 
415,1702137720,"Now , Lockheed Martin which bought an early version of such a computer from the Canadian company D-Wave Systems two years ago is confident enough in the technology to upgrade it to commercial scale , becoming the first company to use quantum computing as part of its business . Skeptics say that D-Wave has yet to prove to outside scientists that it has solved the myriad challenges involved in quantum computation .",before,"Now , Lockheed Martin which bought an early version of such a computer from the Canadian company D-Wave Systems two years ago is confident enough in the technology to upgrade it to commercial scale , becoming the first company to use quantum computing as part of its business . Skeptics say that D-Wave has yet to clarify its claims from last year that it has solved the myriad challenges involved in quantum computation .",after 
232,1702137434,"BP chairman Carl-Henric Svanberg said : "" We expect our stake in Rosneft will generate long-term value for BP and its shareholders .",after,""" We expect our stake in Rosneft will generate long-term value for BP and its shareholders , BP chairman Carl-Henric Svanberg said .",before
258,1702137272,""" We were pleased that England and New Zealand knew about it , and we thought that 's where it would stop . "" He also talked about his "" second job "" as the group 's cameraman , and having to wear four pairs of gloves to work the clockwork camera .",before,""" We will be pleased if England and New Zealand know about it , and we think that 's where it will stop . "" He also talked about his "" second job "" as the group 's cameraman , and having to wear four pairs of gloves to work the clockwork camera .",after
338,1702137318,"Mr Erdogan 's office said he had accepted the apology , "" in the name of the Turkish people "" . In the past , he has always given two conditions for restoring bilateral relations with Israel - an apology and compensation for victims ' families .",after,"Mr Erdogan 's office announced he had accepted the apology , "" in the name of the Turkish people "" . In the past , he has always given two conditions for restoring bilateral relations with Israel - an apology and compensation for victims ' families .",after 
242,1702136966,"Several days into an extensive search involving multiple agencies , New York State Park Police said , authorities learned the missing man was in South Carolina , where he had been pulled over for speeding . The day before Raymond Roth was pulled over , his wife , Evana , showed authorities e-mails she had discovered that appeared to detail a plan between him and his son to fake his death .",after,"Several days into an extensive search involving multiple agencies , New York State Park Police said , authorities learned the missing man was in South Carolina , where he had been pulled over for speeding . The day after Raymond Roth was pulled over , his wife , Evana , showed authorities e-mails she had discovered that appeared to detail a plan between him and his son to fake his death .",before
124,1702137604,""" It is the first time ever that the leader of a euro zone country has admitted that he could not afford to pay the guarantee , "" Mr. Dor said .",before,""" It might be the first time ever that the leader of a euro zone country will admit that he cannot afford to pay the guarantee , "" Mr. Dor said .",after
129,1702137592,""" This explains why Germany and others are putting so much pressure on Cyprus , "" said Mr. Dor , head of research at the Ieseg School of Management in Lille , France .",before,"Mr. Dor , head of research at the Ieseg School of Management in Lille , France , said : "" This explains why Germany and others are putting so much pressure on Cyprus . """,after
252,1702137257,"Mr Lowe also took part in the trans-Antarctic expedition of 1957-58 , which made the first successful overland crossing of Antarctica via the South Pole . He later made expeditions to Greenland , Greece and Ethiopia .",before,"Mr Lowe took part in the trans-Antarctic expedition of 1957-58 , which made the first successful overland crossing of Antarctica via the South Pole soon after he made expeditions to Greenland , Greece and Ethiopia .",after
251,1702137257,"Mr Lowe also took part in the trans-Antarctic expedition of 1957-58 , which made the first successful overland crossing of Antarctica via the South Pole . He later made expeditions to Greenland , Greece and Ethiopia .",before,"Mr Lowe also took part in the trans-Antarctic expedition of 1957-58 , which made the first successful overland crossing of Antarctica via the South Pole . Prior to that, he made expeditions to Greenland , Greece and Ethiopia .",after
304,1702137090,"The apology , long sought by Turkish Prime Minister Recep Erdogan , eased strained feelings between Turkey and Israel , two vital U.S. allies in the Middle East . It happened in a phone call to Erdogan during a final meeting between Obama and Netanyahu at Ben Gurion International Airport in Tel Aviv minutes before Air Force One departed for Jordan to complete the president 's Middle East swing .",before,"It happened in a phone call to Erdogan during a final meeting between Obama and Netanyahu at Ben Gurion International Airport in Tel Aviv minutes before Air Force One departed for Jordan to complete the president 's Middle East swing . The apology , long sought by Turkish Prime Minister Recep Erdogan , eased strained feelings between Turkey and Israel , two vital U.S. allies in the Middle East .",after 
212,1702137358,"The activists said the troops had opened fire as soon as they boarded the vessel , which was in international waters at the time .",after,"The activists said the troops had opened fire before they boarded the vessel , which was in international waters at the time .",before
127,1702137417,"Atrocious conditions could be expected on high ground , they said .",before,They said that atrocious conditions could be expected on high ground .,after
273,1702137114,"In the U.S. , 11 companies were selected last year for the accelerator 's first three-month class in Seattle , out of nearly 500 applicants . Microsoft said it has identified three companies for the China program to run through June .",before,"In the U.S. , 11 companies were selected last year for the accelerator 's first three-month class in Seattle , out of nearly 500 applicants , after Microsoft identified three companies for the China program to run through June .",after
5,1702137027,"""Call me Sunday night at 8 PM at the resort , "" Raymond Roth wrote in an e-mail to his son the day before the son reported him missing . The son 's case is still pending , the district attorney said .",before,"The son 's case is still pending , the district attorney said . ""Call me Sunday night at 8 PM at the resort , "" Raymond Roth wrote in an e-mail to his son the day before the son reported him missing .",after
278,1702137352,"The Israeli government admitted mistakes were made in intelligence-gathering and planning , but insisted its commandos used lethal force because activists had attacked them . The activists said the troops had opened fire as soon as they boarded the vessel , which was in international waters at the time .",after,"The activists said the troops had opened fire as soon as they boarded the vessel , which was in international waters at the time . The Israeli government admitted mistakes were made in intelligence-gathering and planning , but insisted its commandos used lethal force because activists had attacked them .",before
347,1702136896,"The flu season is winding down , and it has killed 105 children so far - about the average toll . The season started about a month earlier than usual , sparking concerns it might turn into the worst in a decade .",before,"The season started about a month earlier than usual , sparking concerns it might turn into the worst in a decade . While the current flu season was one of the worst, just a decade ago, the disease killed 105 children - much higher than the current average toll .",after 
344,1702137649,"For the first time there is a woman - Senator Barbara A. Mikulski , a Maryland Democrat - in charge of the Senate Appropriations Committee , which dispenses billions of dollars annually throughout the government and has long been particularly dominated by men . Senator Patty Murray , a Washington Democrat , is the first chairwoman of the Budget Committee and is charged with shaping the Democratic strategy in the fiscal battle dominating Capitol Hill .",before,"Senator Patty Murray , a Washington Democrat , is the first chairwoman of the Budget Committee and is charged with shaping the Democratic strategy in the fiscal battle dominating Capitol Hill . For the first time there is a woman - Senator Barbara A. Mikulski , a Maryland Democrat - in charge of the Senate Appropriations Committee , which dispenses billions of dollars annually throughout the government and has long been particularly dominated by men .",after 
228,1702137194,"Mr. Netanyahu told Mr. Erdogan that what happened on board the Mavi Marmara was "" unintentional and Israel expresses regret over injuries and loss of life , "" according to the statement . Mr. Obama said later at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations .",before,"Mr. Obama said at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations . Mr. Netanyahu had told Mr. Erdogan earlier that what happened on board the Mavi Marmara was "" unintentional and Israel expresses regret over injuries and loss of life , "" according to the statement .",after
30,1702137653,"Senator Patty Murray , a Washington Democrat , is the first chairwoman of the Budget Committee and is charged with shaping the Democratic strategy in the fiscal battle dominating Capitol Hill . One of the biggest bills to pass the Senate last year was farm legislation led by Senator Debbie Stabenow , a Michigan Democrat who presides over the agriculture committee .",after,"Senator Patty Murray , a Washington Democrat , is the first chairwoman of the Budget Committee and was charged with shaping the Democratic strategy in the fiscal battle dominating Capitol Hill . One of the biggest bills to pass the Senate last year was farm legislation led by Senator Debbie Stabenow , a Michigan Democrat who presides over the agriculture committee .",vague
106,1702137704,"Senator Kirsten E. Gillibrand , Democrat of New York , and Senator Susan Collins , Republican of Maine , led the repeal in the Senate of "" do n't ask , do n't tell "" in 2010 , allowing gay men and women to serve openly in the military . This year , all four of the female Senate Republicans split with their party and voted with Senate Democrats to reauthorize the Violence Against Women Act , which had lapsed during the last Congress .",before,"This year all four of the female Senate Republicans split with their party and voted with Senate Democrats to reauthorize the Violence Against Women Act , which had lapsed during the last Congress . Senator Kirsten E. Gillibrand , Democrat of New York , and Senator Susan Collins , Republican of Maine , led the repeal in the Senate of "" do n't ask , do n't tell "" in 2010 , allowing gay men and women to serve openly in the military .",after
388,1702137483,"Memorial says inspectors returned to its Moscow offices on Friday , having already seized 600 documents including accounts on Thursday .",after,"Memorial says inspectors will return to its Moscow offices on Friday , having already seized 600 documents including accounts on Thursday .",before 
89,1702137299,""" He was involved in two of the most important explorations of the 20th Century ... yet remained a humble , happy man right to the end ... an inspirational lesson to us all . "" Before retiring in 1984 , Mr Lowe worked as an Inspector of Schools with the Department of Education and Sciences , and he leaves three sons from a previous marriage .",before,"Before retiring in 1984 , Mr Lowe worked as an Inspector of Schools with the Department of Education and Sciences , and he leaves three sons from a previous marriage . "" He was involved in two of the most important explorations of the 20th Century ... yet remained a humble , happy man right to the end ... an inspirational lesson to us all . """,after
130,1702137592,""" This explains why Germany and others are putting so much pressure on Cyprus , "" said Mr. Dor , head of research at the Ieseg School of Management in Lille , France .",before,""" This will explain why Germany and others are putting so much pressure on Cyprus , "" said Mr. Dor , head of research at the Ieseg School of Management in Lille , France .",after
249,1702137223,The gulf between the pricing talk from some insurers and the government projections suggests how complicated the law 's effects will be . Carriers will be filing proposed prices with regulators over the next few months .,before,The gulf between the pricing talk from some insurers and the government projections suggests how complicated the law 's effects will be . Carriers have filed proposed prices with regulators over the past few months .,after
299,1702136974,"Several days into an extensive search involving multiple agencies , New York State Park Police said , authorities learned the missing man was in South Carolina , where he had been pulled over for speeding . The day before Raymond Roth was pulled over , his wife , Evana , showed authorities e-mails she had discovered that appeared to detail a plan between him and his son to fake his death .",after,"Several days into an extensive search involving multiple agencies , New York State Park Police said , authorities learned the missing man was in South Carolina , where he had been pulled over for speeding . The day after Raymond Roth was pulled over , his wife , Evana , showed authorities e-mails she had discovered that appeared to detail a plan between him and his son to fake his death .",before 
229,1702137337,"Nine people were killed on board the Turkish aid ship , Mavi Marmara , when it was boarded by Israeli commandos while trying to transport aid supplies to Gaza in May 2010 in spite of an Israeli naval blockade . The Israeli government admitted mistakes were made in intelligence-gathering and planning , but insisted its commandos used lethal force because activists had attacked them .",before,"The Israeli government admitted mistakes were made in intelligence-gathering and planning , but insisted its commandos used lethal force because activists had attacked them on the Turkish aid ship , Mavi Marmara . Nine people were killed on it, when it was boarded by Israeli commandos while trying to transport aid supplies to Gaza in May 2010 in spite of an Israeli naval blockade .",after
90,1702137299,""" He was involved in two of the most important explorations of the 20th Century ... yet remained a humble , happy man right to the end ... an inspirational lesson to us all . "" Before retiring in 1984 , Mr Lowe worked as an Inspector of Schools with the Department of Education and Sciences , and he leaves three sons from a previous marriage .",before,""" He was involved in two of the most important explorations of the 20th Century ... yet remained a humble , happy man right to the end ... an inspirational lesson to us all . "" Before the explorations , Mr Lowe had worked as an Inspector of Schools with the Department of Education and Sciences , and he had left three sons from a previous marriage .",after
312,1702137031,"Call me Sunday night at 8 PM at the resort , "" Raymond Roth wrote in an e-mail to his son the day before the son reported him missing . The son 's case is still pending , the district attorney said .",before,"The son 's case is still pending , the district attorney said . Call me Sunday night at 8 PM at the resort , "" Raymond Roth wrote in an e-mail to his son the day before the son reported him missing .",after 
300,1702136974,"Several days into an extensive search involving multiple agencies , New York State Park Police said , authorities learned the missing man was in South Carolina , where he had been pulled over for speeding . The day before Raymond Roth was pulled over , his wife , Evana , showed authorities e-mails she had discovered that appeared to detail a plan between him and his son to fake his death .",after,"Several days into an extensive search involving multiple agencies , New York State Park Police said , authorities learned the missing man was in South Carolina , where he had been pulled over for speeding . Later on the day Raymond Roth was disappeared, his wife , Evana , showed authorities e-mails she had discovered that appeared to detail a plan between him and his son to fake his death .",after 
316,1702137367,"The incident provoked an international outcry and led to a major deterioration in relations between Turkey and Israel . Before departing for Jordan on Friday afternoon , Mr Obama revealed that Mr Netanyahu and Mr Erdogan had just spoken by telephone .",before,"Before departing for Jordan on Friday afternoon , Mr Obama revealed that Mr Netanyahu and Mr Erdogan had just spoken by telephone . The incident provoked an international outcry and led to a major deterioration in relations between Turkey and Israel .",after 
337,1702137318,"Mr Erdogan 's office said he had accepted the apology , "" in the name of the Turkish people "" . In the past , he has always given two conditions for restoring bilateral relations with Israel - an apology and compensation for victims ' families .",after,"Mr Erdogan 's office said he had accepted the apology , "" in the name of the Turkish people "" . He also gave two conditions for restoring bilateral relations with Israel - an apology and compensation for victims ' families .",before 
219,1702137324,"Nine people were killed on board the Turkish aid ship , Mavi Marmara , when it was boarded by Israeli commandos while trying to transport aid supplies to Gaza in May 2010 in spite of an Israeli naval blockade .",after,"When the Turkish aid ship , Mavi Marmara , was boarded by Israeli commandos while trying to transport aid supplies to Gaza in May 2010 in spite of an Israeli naval blockade , nine people were killed on board it.",before
290,1702136921,"All but four of the children who died were old enough to be vaccinated , but 90 percent of them did not get vaccinated , CDC officials said . This year 's vaccine was considered effective in children , though it did n't work very well in older people .",after,"This year 's vaccine was considered effective in children , though it did n't work very well in older people . All but four of the children who died were old enough to be vaccinated , but 90 percent of them did not get vaccinated , CDC officials said .",before
266,1702137368,"The incident provoked an international outcry and led to a major deterioration in relations between Turkey and Israel . Before departing for Jordan on Friday afternoon , Mr Obama revealed that Mr Netanyahu and Mr Erdogan had just spoken by telephone .",before,"The incident may provoke an international outcry and lead to a major deterioration in relations between Turkey and Israel . Before departing for Jordan on Friday afternoon , Mr Obama revealed that Mr Netanyahu and Mr Erdogan had just spoken by telephone .",after
150,1702137202,"Mr. Obama said later at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations . He said he discussed the issue with Mr. Netanyahu during his visit to Israel this week , and that they agreed the timing was good for a discussion with the Turkish leader .",after,"Mr. Obama said later at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations . He said he would discuss the issue with Mr. Netanyahu during his visit to Israel this week , and that they agreed the timing was good for a discussion with the Turkish leader .",before
310,1702137476,The US embassy in Moscow has voiced concern and asked the Russian government for an explanation .,before,The US embassy in Moscow has voiced concern and asked the Russian government to explain .,before 
269,1702137326,"Nine people were killed on board the Turkish aid ship , Mavi Marmara , when it was boarded by Israeli commandos while trying to transport aid supplies to Gaza in May 2010 in spite of an Israeli naval blockade . The Israeli government admitted mistakes were made in intelligence-gathering and planning , but insisted its commandos used lethal force because activists had attacked them .",before,"The Israeli government admitted mistakes were made in intelligence-gathering and planning , but insisted its commandos used lethal force because activists on the Turkish aid ship , Mavi Marmara , had attacked them . Nine people were killed on board Mavi Marmara when it was boarded by Israeli commandos while trying to transport aid supplies to Gaza in May 2010 in spite of an Israeli naval blockade .",after
65,1702137073,President Barack Obama arrived in refugee-flooded Jordan on Friday after scoring a diplomatic coup just before leaving Israel when Prime Minister Benjamin Netanyahu apologized to Turkey for a 2010 commando raid that killed nine activists on a Turkish vessel in a Gaza-bound flotilla .,before,President Barack Obama arrived in refugee-flooded Jordan on Friday after scoring a diplomatic coup just after leaving Israel when Prime Minister Benjamin Netanyahu apologized to Turkey for a 2010 commando raid that killed nine activists on a Turkish vessel in a Gaza-bound flotilla .,after
393,1702137598,"Mr. Dor notes that the current euro zonewide system of insuring bank deposits up to 100,000 euros was put in place after the financial panic that followed the Lehman collapse .",after,"The current euro zonewide system of insuring bank deposits up to 100,000 euros was put in place after the financial panic that followed the Lehman collapse, as Mr. Dor notes .",before 
364,1702137447,"In 2011 , the AAR consortium attempted to block a drilling joint venture in the Arctic between BP and Rosneft through the courts and the plan was eventually dropped .",before,"In 2011 , the AAR consortium denied any efforts to block a drilling joint venture in the Arctic between BP and Rosneft through the courts and the plan was eventually dropped .",after 
136,1702137560,"In 2011 , during a round of discussions over stricter emissions standards , the China Electricity Council , which represents the companies , pushed back hard against the proposals , saying that the costs of upgrading the plants would be too high . On Feb. 28 , Deutsche Bank released an analysts ' note saying that China 's current economic policies would result in an enormous surge in coal consumption and automobile sales over the next decade .",before,"On Feb. 28 , Deutsche Bank released an analysts ' note saying that China 's current economic policies would result in an enormous surge in coal consumption and automobile sales over the next decade . During a round of discussions over stricter emissions standards , the China Electricity Council , which represents the companies , had pushed back hard against the proposals , saying that the costs of upgrading the plants would be too high .",after
31,1702137248,"Family friend and historian Dr Huw Lewis-Jones paid tribute to a "" gentle soul and fine climber "" who shunned the limelight . Mr Lowe also took part in the trans-Antarctic expedition of 1957-58 , which made the first successful overland crossing of Antarctica via the South Pole .",after,"Mr Lowe also took part in the trans-Antarctic expedition of 1957-58 , which made the first successful overland crossing of Antarctica via the South Pole . Family friend and historian Dr Huw Lewis-Jones paid tribute to a "" gentle soul and fine climber "" who shunned the limelight .",before
128,1702137195,"Mr. Netanyahu told Mr. Erdogan that what happened on board the Mavi Marmara was "" unintentional and Israel expresses regret over injuries and loss of life , "" according to the statement . Mr. Obama said later at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations .",after,"Mr. Netanyahu told Mr. Erdogan that what happened on board the Mavi Marmara was "" unintentional and Israel expresses regret over injuries and loss of life , "" according to the statement . Mr. Obama said later at a news conference in Amman that he would speak to both leaders over the next two years about how it would be in the interests of both countries to restore normal relations .",before
303,1702137353,"The Israeli government admitted mistakes were made in intelligence-gathering and planning , but insisted its commandos used lethal force because activists had attacked them . The activists said the troops had opened fire as soon as they boarded the vessel , which was in international waters at the time .",before,"The Israeli government admitted mistakes were made in intelligence-gathering and planning , but insisted its commandos used lethal force because activists had attacked them . As the activists expected , the troops opened fire as soon as they boarded the vessel , which was in international waters at the time .",after 
70,1702137465,"While serving as head of TNK-BP , Bob Dudley - now the head of BP as a whole - had his office bugged and raided by the police and met with onerous back-tax demands , legal action and visa problems . He eventually fled the country in 2008 .",before,"While serving as head of TNK-BP , Bob Dudley - now the head of BP as a whole - had his office bugged and raided by the police and met with onerous back-tax demands , legal action and visa problems , after he fled the country in 2008 .",after
118,1702136934,"A New York man who was accused of faking his death last summer pleaded guilty to a conspiracy charge Thursday , Nassau County District Attorney Kathleen Rice announced .",before,Nassau County District Attorney Kathleen Rice announced that a New York man who was accused of faking his death last summer pleaded guilty to a conspiracy charge Thursday .,after
